"Strain","PlateWell","Mean","SD","n","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity"
"100","1B10",49.0810212840252,1.07107713099076,4,1,0,0,1,0,1,0,0,3
"100","1B11",46.2523902980719,1.85600731163513,4,1,0,0,0,0,1,1,0,3
"100","1B2",48.3573027401181,1.0914855403842,4,1,0,0,0,0,0,0,0,1
"100","1B3",44.6842800717962,1.58204495919988,4,0,0,0,0,0,0,1,0,1
"100","1B4",48.3176049096195,1.3447955809975,4,1,0,0,0,0,1,0,0,2
"100","1B5",48.0965676761656,1.3524569561427,4,0,1,0,0,0,1,0,0,2
"100","1B6",44.8467898870057,1.32952605549756,4,0,0,1,0,0,0,1,0,2
"100","1B7",45.7929638468142,1.09330868675153,4,0,0,0,0,1,1,0,0,2
"100","1B8",48.3018669331743,1.25855266183147,4,1,1,1,0,0,0,0,0,3
"100","1B9",47.6713479915515,1.16239825204164,4,1,0,1,1,0,0,0,0,3
"100","1C10",45.3866928005854,1.65565129753318,4,1,0,0,1,0,0,1,0,3
"100","1C11",47.4012551859319,1.38183170759966,4,1,0,0,0,0,1,0,1,3
"100","1C2",47.8622548749979,1.10572150795755,4,0,1,0,0,0,0,0,0,1
"100","1C3",45.4675764972302,3.10321870062321,3,0,0,0,0,0,0,0,1,1
"100","1C4",44.3135272442084,1.60123185518784,4,1,0,0,0,0,0,1,0,2
"100","1C5",45.1024043562006,1.65318359998252,4,0,1,0,0,0,0,1,0,2
"100","1C6",46.3803684483192,1.27607599320992,3,0,0,1,0,0,0,0,1,2
"100","1C7",42.8858064449282,0.982351590542786,4,0,0,0,0,1,0,1,0,2
"100","1C8",47.4835698121342,1.16681032616287,4,1,1,0,1,0,0,0,0,3
"100","1C9",45.4630213989217,1.13648652204608,4,1,0,1,0,1,0,0,0,3
"100","1D10",46.4318522214546,2.03334492790345,3,1,0,0,1,0,0,0,1,3
"100","1D11",44.5611176764088,1.18864429912992,3,1,0,0,0,0,0,1,1,3
"100","1D2",47.5033159941337,1.08333551195232,4,0,0,1,0,0,0,0,0,1
"100","1D3",47.0641133656618,1.04665141267125,4,1,1,0,0,0,0,0,0,2
"100","1D4",45.4032201306024,1.81242688457744,4,1,0,0,0,0,0,0,1,2
"100","1D5",45.4033238383992,2.21115889965916,3,0,1,0,0,0,0,0,1,2
"100","1D6",45.9636635591833,1.7359632101009,3,0,0,0,1,1,0,0,0,2
"100","1D7",46.3805544839358,1.92481034460965,3,0,0,0,0,1,0,0,1,2
"100","1D8",45.1605773555814,2.0877117145261,4,1,1,0,0,1,0,0,0,3
"100","1D9",47.5629975343096,0.486458308261928,4,1,0,1,0,0,1,0,0,3
"100","1E10",45.3392464209235,2.17979877512753,4,1,0,0,0,1,1,0,0,3
"100","1E11",48.7944403140935,0.935816957212299,4,0,1,1,1,0,0,0,0,3
