"PlateTrue","Rep","Strain","Amoxicillin","Chlorothalonil","Diflufenican","Glyphosate","Imidacloprid","Metaldehyde","Oxytetracycline","Tebuconazole","Complexity","PlateWell","TruePlateWell","Strain_nice","AUC"
1,1,"74",1,0,0,1,0,1,0,0,3,"1B10","1B10","IL 74",30.9041767098508
6,2,"74",1,0,0,1,0,1,0,0,3,"1B10","6B10","IL 74",35.6874514637989
11,3,"74",1,0,0,1,0,1,0,0,3,"1B10","11B10","IL 74",32.54294788415
16,4,"74",1,0,0,1,0,1,0,0,3,"1B10","16B10","IL 74",35.7527518844677
1,1,"74",1,0,0,0,0,1,1,0,3,"1B11","1B11","IL 74",27.422897493783
6,2,"74",1,0,0,0,0,1,1,0,3,"1B11","6B11","IL 74",29.6284923983549
11,3,"74",1,0,0,0,0,1,1,0,3,"1B11","11B11","IL 74",24.7410594055129
16,4,"74",1,0,0,0,0,1,1,0,3,"1B11","16B11","IL 74",30.855262996605
1,1,"74",1,0,0,0,0,0,0,0,1,"1B2","1B2","IL 74",32.893504616534
6,2,"74",1,0,0,0,0,0,0,0,1,"1B2","6B2","IL 74",32.1804530086155
11,3,"74",1,0,0,0,0,0,0,0,1,"1B2","11B2","IL 74",33.2237361218709
16,4,"74",1,0,0,0,0,0,0,0,1,"1B2","16B2","IL 74",33.0429689538684
1,1,"74",0,0,0,0,0,0,1,0,1,"1B3","1B3","IL 74",29.2080820294671
6,2,"74",0,0,0,0,0,0,1,0,1,"1B3","6B3","IL 74",30.1533481152361
11,3,"74",0,0,0,0,0,0,1,0,1,"1B3","11B3","IL 74",29.6729261748272
16,4,"74",0,0,0,0,0,0,1,0,1,"1B3","16B3","IL 74",29.04778354919
1,1,"74",1,0,0,0,0,1,0,0,2,"1B4","1B4","IL 74",23.5990010552441
6,2,"74",1,0,0,0,0,1,0,0,2,"1B4","6B4","IL 74",33.2578237573216
11,3,"74",1,0,0,0,0,1,0,0,2,"1B4","11B4","IL 74",28.0580603425643
16,4,"74",1,0,0,0,0,1,0,0,2,"1B4","16B4","IL 74",35.4382550254828
1,1,"74",0,1,0,0,0,1,0,0,2,"1B5","1B5","IL 74",32.585012613559
6,2,"74",0,1,0,0,0,1,0,0,2,"1B5","6B5","IL 74",34.2551147026011
11,3,"74",0,1,0,0,0,1,0,0,2,"1B5","11B5","IL 74",32.9952892551596
16,4,"74",0,1,0,0,0,1,0,0,2,"1B5","16B5","IL 74",33.923133169236
1,1,"74",0,0,1,0,0,0,1,0,2,"1B6","1B6","IL 74",26.8991194456989
6,2,"74",0,0,1,0,0,0,1,0,2,"1B6","6B6","IL 74",30.6913188085536
11,3,"74",0,0,1,0,0,0,1,0,2,"1B6","11B6","IL 74",25.6333448865475
16,4,"74",0,0,1,0,0,0,1,0,2,"1B6","16B6","IL 74",25.584465828542
1,1,"74",0,0,0,0,1,1,0,0,2,"1B7","1B7","IL 74",24.7310284604129
6,2,"74",0,0,0,0,1,1,0,0,2,"1B7","6B7","IL 74",22.501570487592
11,3,"74",0,0,0,0,1,1,0,0,2,"1B7","11B7","IL 74",23.8256547933782
16,4,"74",0,0,0,0,1,1,0,0,2,"1B7","16B7","IL 74",24.9263589479821
1,1,"74",1,1,1,0,0,0,0,0,3,"1B8","1B8","IL 74",31.915503555586
6,2,"74",1,1,1,0,0,0,0,0,3,"1B8","6B8","IL 74",35.6459935384698
11,3,"74",1,1,1,0,0,0,0,0,3,"1B8","11B8","IL 74",28.2098225662487
16,4,"74",1,1,1,0,0,0,0,0,3,"1B8","16B8","IL 74",27.9709977592967
1,1,"74",1,0,1,1,0,0,0,0,3,"1B9","1B9","IL 74",23.2663626657062
6,2,"74",1,0,1,1,0,0,0,0,3,"1B9","6B9","IL 74",35.3594597412804
11,3,"74",1,0,1,1,0,0,0,0,3,"1B9","11B9","IL 74",28.3365670278606
16,4,"74",1,0,1,1,0,0,0,0,3,"1B9","16B9","IL 74",28.151526967904
1,1,"74",1,0,0,1,0,0,1,0,3,"1C10","1C10","IL 74",28.8379474969043
6,2,"74",1,0,0,1,0,0,1,0,3,"1C10","6C10","IL 74",28.8394999760747
11,3,"74",1,0,0,1,0,0,1,0,3,"1C10","11C10","IL 74",28.9063270260704
16,4,"74",1,0,0,1,0,0,1,0,3,"1C10","16C10","IL 74",29.3971028964252
1,1,"74",1,0,0,0,0,1,0,1,3,"1C11","1C11","IL 74",28.0107028370737
6,2,"74",1,0,0,0,0,1,0,1,3,"1C11","6C11","IL 74",26.6334016176407
11,3,"74",1,0,0,0,0,1,0,1,3,"1C11","11C11","IL 74",28.0992135132935
16,4,"74",1,0,0,0,0,1,0,1,3,"1C11","16C11","IL 74",27.0137662920068
1,1,"74",0,1,0,0,0,0,0,0,1,"1C2","1C2","IL 74",35.4051167069795
